canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,target_organism,assay_chembl_id
CCN(CC)CCCCOc1ccc2c(c1)C(=O)/C(=C/c1ccc(CN(C)Cc3ccccc3)cc1)C2,IC50,=,890.0,nM,6.05,B,Homo sapiens,CHEMBL1067130
Cn1cc[n+](COCC2CCCc3ccccc32)c1/C=N/O.[Cl-],IC50,=,56000.0,nM,4.25,B,Homo sapiens,CHEMBL644116
CCCCC1=NC2(CCCC2)C(=O)N1Cc1cc2c(cc1C)OCO2,IC50,=,231.5,nM,6.63,B,Homo sapiens,CHEMBL899128
CCN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3C[C@@H]12,IC50,=,12487.0,nM,4.90,B,Homo sapiens,CHEMBL1119333
O=C1/C(=C/c2ccc[nH]2)CN(Cc2ccccc2)C/C1=C\c1ccc[nH]1,IC50,=,18000.0,nM,4.75,B,Homo sapiens,CHEMBL875241
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCc1cc(OC)c2oc(-c3ccc4c(c3)OCO4)cc2c1,IC50,=,1700.0,nM,5.77,B,Homo sapiens,CHEMBL1840095
CCN(CCCCCCN1C(=O)c2cccc3cccc(c23)C1=O)Cc1ccccc1OC,IC50,=,53.5,nM,7.27,B,Homo sapiens,CHEMBL948464
COc1ccccc1CN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,IC50,=,3710.0,nM,5.43,B,Homo sapiens,CHEMBL1019313
CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OCCCCCCN3CCCCC3)cc2)cc1,IC50,=,210.0,nM,6.68,B,Homo sapiens,CHEMBL1775596
O=C(c1c2ccccc2cc2ccccc12)N1c2ccccc2Sc2ccccc21,Ki,=,3.5,nM,8.46,B,Homo sapiens,CHEMBL1787068
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21.Cl,IC50,=,53.0,nM,7.28,B,Homo sapiens,CHEMBL645009
Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,IC50,=,140.0,nM,6.85,B,Homo sapiens,CHEMBL644839
O=C(CCCCC1CCSS1)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,30.1,nM,7.52,B,Homo sapiens,CHEMBL832842
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,IC50,=,0.33,nM,9.48,B,Homo sapiens,CHEMBL828047
Nc1c2c(nc3ccccc13)CCCCCC2,IC50,=,9100.0,nM,5.04,B,Homo sapiens,CHEMBL1119333
C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O,IC50,=,25910.0,nM,4.59,B,Homo sapiens,CHEMBL1918466
CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)/C=C/c4ccc(Cl)c(Cl)c4)cc3oc2=O)cc1,IC50,=,4230.0,nM,5.37,B,Homo sapiens,CHEMBL929818
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,IC50,=,1.8,nM,8.74,B,Homo sapiens,CHEMBL1119333
Cl.O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,IC50,=,2.3,nM,8.64,B,Homo sapiens,CHEMBL2020732
CC1=C(C)c2nc3ccccc3c(N)c2C1,IC50,=,3500.0,nM,5.46,B,Homo sapiens,CHEMBL1119333
c1cc(OCCCN2CCCCC2)ccc1CN1CCCCC1,IC50,=,3200.0,nM,5.50,B,Homo sapiens,CHEMBL940221
CN(C)C(=O)Oc1ccc2c(c1)C(N(C)C)CC2.Cl,IC50,=,2150.0,nM,5.67,B,Homo sapiens,CHEMBL636789
Cc1cn2cc(C(N)=O)ccc2[n+]1C.[I-],IC50,=,27000.0,nM,4.57,B,Homo sapiens,CHEMBL1119333
Cl.Cl.Oc1c(CNCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc2cccnc12,IC50,=,5.5,nM,8.26,B,Homo sapiens,CHEMBL1177574
COc1cc(C(=O)NCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,IC50,=,51.6,nM,7.29,B,Homo sapiens,CHEMBL912241
CCN(CC)CCS/C(=N\O)c1nc(Cc2ccccc2)no1,IC50,=,30000.0,nM,4.52,B,Homo sapiens,CHEMBL644111
CC1=CC2Cc3nc4cc(Cl)ccc4c(NC(=O)CCl)c3C(C1)C2,IC50,=,2510.0,nM,5.60,B,Homo sapiens,CHEMBL1041236
O=C(CCC1CCN(Cc2ccccc2Cl)CC1)c1ccc2c(c1)CCN2,IC50,=,76.0,nM,7.12,B,Homo sapiens,CHEMBL1119333
Cl.O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3)nc2c1,IC50,=,33.0,nM,7.48,B,Homo sapiens,CHEMBL885303
CC(C)C1=N[C@H]2CC=C3CC4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,IC50,=,299.0,nM,6.52,B,Homo sapiens,CHEMBL900444
Cc1ccc(S(=O)(=O)N2[C@H](C)CCC[C@@H]2C)cc1,IC50,=,368.0,nM,6.43,B,Homo sapiens,CHEMBL1049243
N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,=,100.93,nM,7.00,B,Homo sapiens,CHEMBL641020
COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccccc2Cl)C(c2ccccc2)NC12C(=O)Nc1ccccc12,IC50,=,7300.0,nM,5.14,B,Homo sapiens,CHEMBL1293120
CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,IC50,=,68.0,nM,7.17,B,Homo sapiens,CHEMBL1119333
CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,IC50,=,94.0,nM,7.03,B,Homo sapiens,CHEMBL874440
COc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,IC50,=,8.0,nM,8.10,B,Homo sapiens,CHEMBL1119333
CCC1=CC2Cc3nc4cnccc4c(N)c3C(C1)C2,IC50,=,664.0,nM,6.18,B,Homo sapiens,CHEMBL1041236
CN1CCC(C[C@H]2Cc3ccccc3C2=O)CC1,IC50,=,7.7,nM,8.11,B,Homo sapiens,CHEMBL643386
Oc1cccc(C2=Nc3ccccc3SC(c3ccc(Cl)cc3)C2)c1,IC50,=,18800.0,nM,4.73,B,Homo sapiens,CHEMBL978158
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,IC50,=,0.04,nM,10.40,B,Homo sapiens,CHEMBL864026
C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],IC50,=,61500.0,nM,4.21,B,Homo sapiens,CHEMBL644117
O=[N+]([O-])OCCCNCCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,6.4,nM,8.19,B,Homo sapiens,CHEMBL932016
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,IC50,=,6456.54,nM,5.19,B,Homo sapiens,CHEMBL641237
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,=,50.0,nM,7.30,B,Homo sapiens,CHEMBL641020
CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N@@+](C)([O-])[C@@H]1N2C.Cl,IC50,=,125.0,nM,6.90,B,Homo sapiens,CHEMBL644832
[Br-].[Br-].c1cc[n+](CCCCCCCCCCC[n+]2ccccc2)cc1,IC50,=,700.0,nM,6.16,B,Homo sapiens,CHEMBL1100708
COc1cc2c(cc1OC)CC(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,IC50,=,1.06,nM,8.97,B,Homo sapiens,CHEMBL960589
CN(CCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,IC50,=,2890.0,nM,5.54,B,Homo sapiens,CHEMBL915960
O=C(CCC1CCN(Cc2ccc(F)cc2)CC1)c1ccc2c(c1)CCN2,IC50,=,89.0,nM,7.05,B,Homo sapiens,CHEMBL1119333
CN(C)Cc1ccc(CSCCCCCCCSCc2ccc(CN(C)C)o2)o1,IC50,=,610.0,nM,6.21,B,Homo sapiens,CHEMBL644790
[Br-].[Br-].c1ccc(C[n+]2cccc3ccccc32)c(C[n+]2cccc3ccccc32)c1,IC50,=,35000.0,nM,4.46,B,Homo sapiens,CHEMBL1763498
C/C=C(\C)C(=O)N[C@H]1C(OC(C)=O)C[C@@]2(C)C(CC[C@H]3C4CC=C([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)[C@H]1OC(C)=O,IC50,=,50118.72,nM,4.30,B,Homo sapiens,CHEMBL641237
CC[C@H](C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CN1,IC50,=,4368.0,nM,5.36,B,Homo sapiens,CHEMBL900444
CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,IC50,=,280.0,nM,6.55,B,Homo sapiens,CHEMBL636834
C[C@@H]1CCC[C@H](C)N1S(C)(=O)=O,IC50,=,75.0,nM,7.12,B,Homo sapiens,CHEMBL1049243
C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC[C@@H]5N=C(C(C)(C)C)OC[C@]54C)C[C@H]3C(=O)C[C@]12C)N(C)C,IC50,=,351.0,nM,6.46,B,Homo sapiens,CHEMBL900444
CCN1CCCC1CNc1ccc(-c2ccccc2)nn1,IC50,=,62000.0,nM,4.21,B,Homo sapiens,CHEMBL1119333
CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],IC50,=,260.0,nM,6.58,B,Homo sapiens,CHEMBL644833
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,IC50,=,670.0,nM,6.17,B,Homo sapiens,CHEMBL643373
CCCC/N=C(/C=N/O)N(C)C.Cl,IC50,=,54000.0,nM,4.27,B,Homo sapiens,CHEMBL1954098
COc1ccc(CN2CCC(CCC(=O)c3ccc4c(c3)CCN4)CC2)cc1,IC50,=,13300.0,nM,4.88,B,Homo sapiens,CHEMBL1119333
Oc1cccc(C2=Nc3ccccc3SC(c3ccccc3F)C2)c1,IC50,=,70600.0,nM,4.15,B,Homo sapiens,CHEMBL978158
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)N(Cc1ccccc1)CC2,IC50,=,853.0,nM,6.07,B,Homo sapiens,CHEMBL1119333
CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,IC50,=,3170.0,nM,5.50,B,Homo sapiens,CHEMBL643373
CNC(=O)Oc1ccc2c(c1)CC[C@@H]1CCN(C)[C@H]21,IC50,=,17.3,nM,7.76,B,Homo sapiens,CHEMBL1249049
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],IC50,=,42.1,nM,7.38,B,Homo sapiens,CHEMBL868603
C#CCNC1CCc2ccc(OC(=O)N(C)c3ccccc3)cc21.Cl,IC50,=,550.0,nM,6.26,B,Homo sapiens,CHEMBL645888
CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1O2,IC50,=,100.0,nM,7.00,B,Homo sapiens,CHEMBL859798
CC(C)N1CCN(c2nccc(NCc3ccccc3)n2)CC1,IC50,=,25000.0,nM,4.60,B,Homo sapiens,CHEMBL1769750
Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,IC50,=,40.0,nM,7.40,B,Homo sapiens,CHEMBL644927
CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccn3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,IC50,=,1300.0,nM,5.89,B,Homo sapiens,CHEMBL644833
Cc1c(Cl)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,3.0,nM,8.52,B,Homo sapiens,CHEMBL832710
COc1ccc2nc3c(c(N)c2c1)CCCC3,IC50,=,15000.0,nM,4.82,B,Homo sapiens,CHEMBL1260200
C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,IC50,=,231.0,nM,6.64,B,Homo sapiens,CHEMBL644099
CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2C)=CC1=O)Cc1ccccc1C,IC50,=,71.9,nM,7.14,B,Homo sapiens,CHEMBL895407
COC1=CC(=O)C(N2CCC(C3CCN(Cc4ccccc4OC)CC3)CC2)=CC1=O,IC50,=,24400.0,nM,4.61,B,Homo sapiens,CHEMBL1941523
COc1ccccc1NCc1cc(=O)oc2cc3oc4ccccc4c3cc12,IC50,=,190.0,nM,6.72,B,Homo sapiens,CHEMBL1942987
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1C(F)(F)F)CCCC3,IC50,=,226.0,nM,6.65,B,Homo sapiens,CHEMBL1003711
CC(C)C1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](OC(=O)C(C)(C)C)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,IC50,=,839.0,nM,6.08,B,Homo sapiens,CHEMBL900444
CN(CCOCCNC(=S)Nc1ccccn1)Cc1ccccc1,IC50,=,4000.0,nM,5.40,B,Homo sapiens,CHEMBL1119333
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,3800.0,nM,5.42,B,Homo sapiens,CHEMBL645001
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1,IC50,=,9810.0,nM,5.01,B,Homo sapiens,CHEMBL832454
CCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)[C@@H]1C2,IC50,=,90.0,nM,7.05,B,Homo sapiens,CHEMBL1119333
Cc1ccc2c(N)c3c(nc2c1)CCCC3,IC50,=,100.0,nM,7.00,B,Homo sapiens,CHEMBL644101
C#CCCOC[n+]1ccn(C)c1C.[Cl-],IC50,=,27000.0,nM,4.57,B,Homo sapiens,CHEMBL644118
COc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,IC50,=,70000.0,nM,4.16,B,Homo sapiens,CHEMBL875241
Nc1c2c(nc3c(Cl)cccc13)CCCC2,IC50,=,68.9,nM,7.16,B,Homo sapiens,CHEMBL644838
Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,=,26.0,nM,7.58,B,Homo sapiens,CHEMBL641020
CC(=O)N(C)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,=,19952.62,nM,4.70,B,Homo sapiens,CHEMBL641237
NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,131.0,nM,6.88,B,Homo sapiens,CHEMBL1119333
Cc1cc(C)c(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c(C)c1,IC50,=,1300.0,nM,5.89,B,Homo sapiens,CHEMBL644628
CC(=O)Oc1cccc([N+](C)(C)C)c1,IC50,=,3013.01,nM,5.52,B,Homo sapiens,CHEMBL641238
O=C1C=C(NCCCNCc2cc3ccccc3o2)C(=O)C=C1NCCCNCc1cc2ccccc2o1,IC50,=,21800.0,nM,4.66,B,Homo sapiens,CHEMBL1771988
Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,IC50,=,5510.0,nM,5.26,B,Homo sapiens,CHEMBL859798
COc1cc2c(cc1OC)C(c1cccc([N+](=O)[O-])c1)N(CCCCCCc1cn(CCNc3c4c(nc5cc(Cl)ccc35)CC3C=C(C)CC4C3)nn1)CC2,IC50,=,3.95,nM,8.40,B,Homo sapiens,CHEMBL1041236
C/C=C(\C)C(=O)N[C@@H]1[C@H](O)C2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,IC50,=,33113.11,nM,4.48,B,Homo sapiens,CHEMBL641237
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,IC50,=,22100.0,nM,4.66,B,Homo sapiens,CHEMBL998779
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,=,5680.0,nM,5.25,B,Homo sapiens,CHEMBL643373
CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,IC50,=,5600.0,nM,5.25,B,Homo sapiens,CHEMBL1918028
C#CCNCCc1cccc(OC(=O)N(C)C)c1,IC50,=,220.0,nM,6.66,B,Homo sapiens,CHEMBL645013
CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3CC12,IC50,=,38.0,nM,7.42,B,Homo sapiens,CHEMBL645003
