canonical_smiles,count,mean,std,min,max
CCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,2,4.95880362569514,0.0002776254712690659,4.958607314841775,4.958999936548504
CCCCC1(c2ccc(N)cc2)CC(=O)NC1=O,2,3.072500226359586,3.3198666577949623,0.7249999999976484,5.420000452721523
CCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,5.638181556973245,0.00015693594339013318,5.638000342954921,5.638272163982407
CCCCCC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1,2,5.7448638579163855,0.00019284643185457368,5.7447274948966935,5.7450002209360775
CCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,5.886037718145729,3.278693792072128e-05,5.88599985905086,5.886056647693163
CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,5.823939627402148,5.349691422752849e-05,5.823908740944319,5.824001400317809
CCCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,5.769701030431388,0.00025972415301943764,5.769551078621726,5.770000934050708
CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,2,6.351667404869234,0.18359130290765754,6.221848749616356,6.481486060122113
CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,2,5.402304814074488,0.0,5.402304814074488,5.402304814074488
CCCCCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,2,6.040958607678906,0.0,6.040958607678906,6.040958607678906
CCCCCCCCC[C@H]1C[C@](CC)(c2ccncc2)C(=O)NC1=O,2,5.38710812615753,0.0001527592799394207,5.387000109034796,5.3872161432802645
CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,4,5.635151878060192,0.5432814883320856,5.045757490560675,6.096910013008056
CCCCCCCC[C@H]1C[C@](CC)(c2ccncc2)C(=O)NC1=O,3,5.57521031056761,0.03860614925839791,5.552841968657781,5.619788758288394
CCCCCCCC[C@H]1C[C@](CCCCCCCC)(c2ccncc2)C(=O)NC1=O,2,4.585013289533196,1.8897423049838344e-05,4.58499992703721,4.585026652029182
CCCCCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,3,6.024455180739186,0.3958003563655161,5.795880017344075,6.481486060122113
CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,2,7.309892569591396,0.00012536949477461926,7.309803919971486,7.309981219211305
CCCCCCCN1C(=O)CC(c2ccc(N)cc2)C1=O,2,11.911486790210619,8.469000211867078,5.9229993105291,17.899974269892137
CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,2,5.347753658996677,0.0,5.347753658996677,5.347753658996677
CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,2,5.573488738635425,0.0,5.573488738635425,5.573488738635425
CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,2,7.50884855040447,0.00029733025384123026,7.508638306165727,7.509058794643213
CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,4,7.158428804273979,0.3358408771219521,6.853871964321762,7.638272163982407
CCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,7.206632448494278,0.33144845781566773,6.823908740944319,7.398048595866478
CCCC[C@H]1C[C@](CC)(c2ccncc2)C(=O)NC1=O,2,5.060240271459225,0.0003400843105389698,5.059999795537068,5.060480747381382
CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,2,6.954833580153759,0.00022140777684831914,6.954677021213342,6.954990139094176
CCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,6.380939844414715,0.27542220815129154,6.221848749616356,6.698970004336019
CCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,2,6.119186407719209,0.0,6.119186407719209,6.119186407719209
CCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,2,5.600326278518962,0.0,5.600326278518962,5.600326278518962
CCC[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,5.259818605408604,0.0002563897103972494,5.259637310505756,5.259999900311453
CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,5.303987316277625,0.2581385134217439,5.154901959985743,5.6020599913279625
CCO[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2,5.497159782113366,1.0675026418441456,4.742321425130816,6.251998139095916
CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,3,4.1147591867139175,1.7318422569682208,2.115000000204774,5.114638779968488
CCOc1ccc2c(c1)CC/C2=C\c1cccnc1,3,4.149977828285372,1.7320316060966827,2.1500000002356523,5.149966742310231
CCOc1ccc2cc(-c3cccnc3)ccc2c1,2,5.177930041640248,4.625933174179437e-05,5.17789733135308,5.177962751927415
CCS(=O)(=O)N1CCN(c2ccc(/C=C/c3cc(F)cc(-c4ccncc4)c3)cc2)CC1,2,5.0,0.0,5.0,5.0
CC[C@@H]1C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,3,6.318921668876807,0.0001410809530085987,6.318758762624412,6.319003122003004
CC[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,5.346893673056908,0.00015017085831472028,5.346787486224656,5.346999859889158
CC[C@H]1CC[C@@H](OC(=O)Cc2ccncc2)CC1,2,5.792499884348267,1.5959398118827617,4.664000021000383,6.920999747696151
CC[C@]1(c2ccncc2)CCC(=O)NC1=O,3,4.467219812906549,0.46140120807272256,4.200659450546418,5.0
CC[C@]1(c2ccncc2)C[C@@H](C)C(=O)NC1=O,2,4.031758522632824,0.0003414918272357915,4.031517051446065,4.031999993819582
CC[C@]1(c2ccncc2)C[C@H](C)C(=O)NC1=O,2,4.638136064763204,0.0001924733616243148,4.637999965544002,4.638272163982407
CCc1ccc(C(c2cc3ccc(OC)cc3o2)n2cncn2)cc1,3,6.249036570006687,0.5871467666852317,5.90999956608739,6.927015255372069
CCn1c(C(Cc2ccc(Cl)cc2)n2ccnn2)c(C)c2cc(Br)ccc21,2,3.1834996321928353,3.5956374621823164,0.6409999999953313,5.72599926439034
CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,2,6.623213296101407,0.0002966268287352092,6.623003549259327,6.623423042943488
CCn1c(C)c(C(Cc2ccc(F)cc2)n2ccnc2)c2ccccc21,2,4.384992879970621,4.398194109702363,1.2750000000253503,7.494985759915893
CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,2,7.285837986297061,0.00023722872804748563,7.285670240254767,7.286005732339356
CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,2,7.244048965677033,0.00010773288066351819,7.243972787026559,7.244125144327507
CCn1cc(C(c2ccccc2)n2ccnc2)c2cc(Br)ccc21,2,6.991208312211305,0.00027084456247972443,6.991016796184528,6.991399828238082
